Name;Latitude;Longitude;Type
Rig 1;50.5414;35.8104;1
Rig 2;54.1103;54.1046;2
Rig 3;57.4026;67.0752;3
Rig 4;48.8012;44.4739;2
Rig 5;55.1987;80.2835;1
Rig 6;58.0324;56.7418;3
Rig 7;55.2571;42.2052;1
Rig 8;45.5894;38.3683;1
Rig 9;53.2693;50.9911;3
Rig 10;56.9089;60.795;3
Rig 11;55.8488;55.4057;1
Rig 12;51.5426;54.9575;3
Rig 13;50.5414;35.8104;1
Rig 14;54.1103;54.1046;2
Rig 15;57.4026;67.0752;3
Rig 16;48.8012;44.4739;3
Rig 17;55.1987;80.2835;2
Rig 18;58.0324;56.7418;2
Rig 19;55.2571;42.2052;2
Rig 20;45.5894;38.3683;3
Rig 21;53.2693;50.9911;3
Rig 22;56.9089;60.795;1
Rig 23;55.8488;55.4057;3
Rig 24;51.5426;54.9575;3
