Name;Latitude;Longitude;Type
Vehicle 1;51.2368;58.4686;1
Vehicle 2;51.8234;55.1119;1
Vehicle 3;52.7214;52.259;2
Vehicle 4;51.2338;58.4734;1
Vehicle 5;51.8168;55.0961;2
Vehicle 6;52.7418;52.2527;2
Vehicle 7;51.229;58.4697;2
Vehicle 8;51.8229;55.0963;1
Vehicle 9;52.7203;52.2545;1
Vehicle 10;52.3949;53.1411;1
Vehicle 11;51.7731;55.0825;2
Vehicle 12;52.794;52.2375;1
Vehicle 13;51.2368;58.4686;1
Vehicle 14;51.8234;55.1119;1
Vehicle 15;52.7214;52.259;2
Vehicle 16;51.2338;58.4734;1
Vehicle 17;51.8168;55.0961;2
Vehicle 18;52.7418;52.2527;2
Vehicle 19;51.229;58.4697;2
Vehicle 20;51.8229;55.0963;1
Vehicle 21;52.7203;52.2545;1
Vehicle 22;52.3949;53.1411;1
Vehicle 23;51.7731;55.0825;2
Vehicle 24;52.794;52.2375;1
