Name;Latitude;Longitude;Boreholes Number;Earliest;Latest;Rig Types
Customer 1;52.4092;53.1622;5;37;48;1 2 3
Customer 2;51.2231;58.4732;20;42;70;1 2 3
Customer 3;51.611;53.9102;5;46;56;1 2 3
Customer 4;51.2258;58.6136;5;59;69;1 2 3
Customer 5;51.2501;58.4567;5;62;73;1 2 3
Customer 6;50.7627;59.5232;10;91;108;1 2 3
Customer 7;52.0712;53.6528;5;96;106;1 2 3
Customer 8;51.4592;58.4445;10;98;115;1 2 3
Customer 9;51.2045;58.6335;10;99;114;1 2 3
Customer 10;51.8291;55.1425;5;142;152;1 2 3
Customer 11;51.2539;58.4842;5;147;157;1 2 3
Customer 12;51.2031;58.31;5;147;157;1 2 3
Customer 13;51.8774;54.1908;5;156;166;1 2 3
Customer 14;51.8471;55.121;20;159;184;1 2 3
Customer 15;51.3823;58.9627;20;160;185;1 2 3
Customer 16;51.2209;58.6791;5;166;176;1 2 3
Customer 17;51.795;56.3521;20;191;216;1 2 3
Customer 18;52.5407;52.8208;5;200;210;1 2 3
Customer 19;51.8776;54.19;10;205;223;1 2 3
Customer 20;51.1959;58.3185;10;209;224;1 2 3
Customer 21;52.4035;53.1677;5;210;220;1 2 3
Customer 22;52.5387;52.8244;5;229;240;1 2 3
Customer 23;51.2114;58.6555;5;234;244;1 2 3
Customer 24;52.0894;53.6453;5;235;246;1 2 3
Customer 25;51.2507;58.4235;5;237;247;1 2 3
Customer 26;51.0396;59.8775;5;239;249;1 2 3
Customer 27;52.7955;52.2385;5;256;266;1 2 3
Customer 28;51.482;57.3762;5;257;268;1 2 3
Customer 29;51.1944;58.6175;30;270;314;1 2 3
Customer 30;51.7623;55.1166;5;280;291;1 2 3
Customer 31;51.482;57.3764;5;283;294;1 2 3
Customer 32;51.2541;58.4843;5;287;298;1 2 3
Customer 33;51.7981;55.0491;20;290;322;1 2 3
Customer 34;52.7701;52.2417;10;292;310;1 2 3
Customer 35;51.8283;55.1576;5;295;306;1 2 3
Customer 36;51.2425;58.4743;10;297;312;1 2 3
Customer 37;52.803;52.2172;5;299;310;1 2 3
Customer 38;51.8722;54.2096;5;307;318;1 2 3
Customer 39;52.7792;52.242;10;310;325;1 2 3
Customer 40;51.286;58.4415;5;312;322;1 2 3
Customer 41;51.8343;55.1302;5;313;323;1 2 3
Customer 42;51.2502;58.4459;5;314;324;1 2 3
Customer 43;52.7779;52.2379;5;316;327;1 2 3
Customer 44;51.8336;55.1257;5;316;327;1 2 3
Customer 45;51.2226;58.4907;5;320;331;1 2 3
Customer 46;51.8268;55.1621;5;320;331;1 2 3
Customer 47;52.7884;52.258;5;320;330;1 2 3
Customer 48;51.2439;58.4358;5;320;331;1 2 3
